Name,Auto number,Program check,Program name,Type of Opportunity,Annual scholarship?,Study level,Host Country,Discipline,Value,Note,Link,Deadline?,Date updated,Checked?
Erasmus Mundus GroundwatCH,1345,,Erasmus Mundus GroundwatCH,Government Scholarship,checked,Master,Europe,Environmental studies and earth sciences,"100% tuition fee,Full scholarship","Học bổng học ở ít nhất 3 trường đại học ở 3 quốc gia khác nhau
Học bổng cho 1000 Euro/tháng + 2000 Euro/năm nếu quãng đường di chuyển ít hơn 4000 km, và 3000 Euro/năm nếu quãng đường di chuyển trên 4000 km",https://www.groundwatermaster.eu/scholarships,January,3/10/2017,
Erasmus Mundus IMPAKT Project,65,,Erasmus Mundus IMPAKT Project,Conference Scholarship,checked,"Undergraduate ,Master ,PhD ",Europe,A LOT OF DISCIPLINES,Cash award,"Học Bổng  này cho tiền theo tháng, tùy theo bậc học. Ưu điểm là đa dạng bậc học, lại được thêm vé máy bay, chăm sóc sức khỏe, tiền visa nữa. ",http://www.impakt-asia.eu/apply,August,17/8/2017,
Erasmus Mundus Joint Master Degree International Master in Innovative Medicine,752,,Erasmus Mundus Joint Master Degree International Master in Innovative Medicine,Government Scholarship,checked,Master,Netherland,Medicine and Health,Full scholarship,Khi đang theo học theo chương trình đó không được nhận thêm các khoản grant từ EU nữa.,https://www.innovativemedicine.eu/about/applicants-scholarships/other-scholarship-applicants,January,23/8/2017,
Erasmus Plus,1057,,Erasmus Plus,Exchange scholarship,checked,Undergraduate,Europe,A LOT OF DISCIPLINES,Full scholarship,"Học bổng cho tiền vé máy bay khứ hồi, tiền học
800euro/1 tháng",https://ec.europa.eu/programmes/erasmus-plus/node_en,March,5/9/2017,
Erasmus School of Economics Student Waiver for excellent students from non-EEA countries,522,,Erasmus School of Economics Student Waiver for excellent students from non-EEA countries,University-sponsor Scholarship,checked,Master,Netherland,Business and finance,"100% tuition fee,50% tuition fee ","GPA>8, IELTS>6.5, không cần GMAT
Học bổng cho từ một phần đến toàn phần học phí.
Chương trình học trong 1 năm.",https://www.eur.nl/ese/master/fees_and_scholarships/scholarships_and_grants/ese_student_waiver_for_excellent_students_from_non_eea_countries/,April,19/8/2017,
Erasmus+ Mobility Project for Students at University of Modena and Reggio Emilia,1218,,Erasmus+ Mobility Project for Students at University of Modena and Reggio Emilia,Exchange scholarship,checked,Undergraduate,Italy,A LOT OF DISCIPLINES,Cash award,Học bổng hỗ trợ maximum 850 euro mỗi tháng cho việc ăn ở (trong 6 tháng) và 1100 euro cho vé máy bay khứ hồi. Nếu đi qua trung gian là Trung tâm văn hóa và ngôn ngữ Ý thì sẽ phải duy trì thành tích 25/30 điểm tổng kết cuối kỳ để được giữ học bổng. Học bổng này không hỗ trợ tiền học nhưng chỉ đóng học phí tại trường ở Việt Nam nên không đắt đỏ.,http://ec.europa.eu/programmes/erasmus-plus/node_en,December,19/9/2017,
"Erasmus+ Program for Master in Entrepreneurship, Technology and Innovation Management",1151,,"Erasmus+ Program for Master in Entrepreneurship, Technology and Innovation Management",University-sponsor Scholarship,checked,Master,Germany,Business and finance,50% tuition fee,"Học bổng Erasmus+ của Liên minh châu Âu dành cho các học viên có kết quả học tập tốt, đang theo học Chương trình Thạc sĩ Quản trị Công nghệ, Đổi mới sáng tạo và Khởi nghiệp (Entrepreneurship, Technology and Innovation Management hay ETIM), hợp tác giữa Trường Đại học Kinh tế Quốc dân và Đại học Koblenz-Landau, CHLB Đức.
Mỗi suất học bổng bao gồm vé máy bay khứ hồi, bảo hiểm và 800 euro/tháng sinh hoạt phí cho 3 đến 5 tháng học tập tại CHLB Đức.",https://www.uni-koblenz-landau.de/en/international-en/studie-abroad/exchange-in-europe/the-new-eu-program-erasmus,Change every year,13/9/2017,
Eric Bleumink Fund Talent Grant,1359,,Eric Bleumink Fund Talent Grant,University-sponsor Scholarship,checked,Post-graduate,Netherland,A LOT OF DISCIPLINES,Full scholarship,,http://www.rug.nl/alumni/steun-de-rug/eric-bleumink-fund/applying-for-a-grant,Febuary,10/8/2017,
Erick Bleumink Scholarship - University of Groningen,66,,Erick Bleumink Scholarship - University of Groningen,University-sponsor Scholarship,checked,"Post-graduate ,Master ",Netherland,A LOT OF DISCIPLINES,Full scholarship,"+ Học bổng toàn phần cho toàn thời gian thạc sĩ (tùy chương trình thạc sĩ 1 năm hay thạc sĩ 2 năm)
+ Có điểm xuất sắc trong các kỳ cử nhân/cử nhân
+ Học bằng tiếng Anh hoặc tiếng Hà Lan là do mình lựa chọn
+ Không được nhận thêm tài trợ từ tổ chức khác
",http://www.rug.nl/education/international-students/financial-matters/ericbleumink,December,18/8/2017,
Ernst Mach Grant - ASEA-UNINET (Austria),899,,Ernst Mach Grant - ASEA-UNINET (Austria),Government Scholarship,checked,"Post-graduate ,PhD ",Austria,"""Arts, Design and Photography"",Social sciences and Humanities ,Natural Sciences and Mathematics ,Engineer and Technology ,Environmental studies and earth sciences,Medicine and Health ",Cash award,,http://oead.grants.at/out/default.aspx?TemplateGroupID=34&PageMode=3&GrainEntryID=16941&HZGID=17941&LangID=2,Change every year,4/9/2017,
ESMT Women's Academic Scholarship,422,,ESMT Women's Academic Scholarship,University-sponsor Scholarship,checked,"Post-graduate ,Master ",Germany,Business and finance,Cash award,"rqm: GMAT > 700
Up to  €15,000",https://www.esmt.org/degree-programs/full-time-mba/fees-and-financing/mba-scholarships,July,19/8/2017,
ESSEC Scholarships,1069,,ESSEC Scholarships,University-sponsor Scholarship,checked,"Undergraduate ,Master ",France,Business and finance,"50% tuition fee ,more than 50% tuition fee",,http://www.essec.edu/en/program/global-bba/global-bba-international/financing/,April,5/9/2017,
ETH Excellence Scholarships,67,,ETH Excellence Scholarships,University-sponsor Scholarship,checked,"Post-graduate ,Master ",Switzerland,A LOT OF DISCIPLINES,Nearly full scholarship (withour air tickets or accommodation),Students must belong to the best 10 percent of their Bachelor’s programme,https://www.ethz.ch/students/en/studies/financial/scholarships/excellencescholarship.html,December,18/8/2017,
Euro photonic,379,,Euro photonic,Fellowship Scholarship,checked,Post-graduate,Germany,Engineer and Technology,Full scholarship,,http://www.europhotonics.org/wordpress/master/future-students/master-application-procedure,Febuary,18/8/2017,
EWHA Women University Scholarship for International Studies,70,,EWHA Women University Scholarship for International Studies,University-sponsor Scholarship,checked,"Undergraduate ,Master ,PhD ",South Korea,A LOT OF DISCIPLINES,"50% tuition fee ,100% tuition fee,Full scholarship",,http://www.ewha.ac.kr/mbs/ewhaen/subview.jsp?id=ewhaen_020501000000,"April,October ",17/8/2017,
Excellence Fellowships (của Ecole Polytechnique Fédérale De Lausanne),71,,Excellence Fellowships (của Ecole Polytechnique Fédérale De Lausanne),Fellowship Scholarship,,Master,Switzerland,Engineer and Technology,Cash award,"16,000 CHF/năm",http://master.epfl.ch/excellence-fellowships,Change every year,18/10/2023,
"Excellence Master Fellowships (University of Geneva, Switzerland)",599,,"Excellence Master Fellowships (University of Geneva, Switzerland)",Fellowship Scholarship,checked,Post-graduate,Switzerland,"Natural Sciences and Mathematics ,Environmental studies and earth sciences",100% tuition fee,The Fellowship is awarded for one year and extended for the regular duration of the chosen Master's programme (three or four semesters) provided the applicant is academically successful at the end of his/her first semester of studies.,http://www.unige.ch/sciences/Enseignements/Formations/Masters/ExcellenceMasterFellowships_en.html,March,19/8/2017,
Excellence Scholarship & Opportunity Programme / Master Scholarship Programme ETH Zurich,701,,Excellence Scholarship & Opportunity Programme / Master Scholarship Programme ETH Zurich,University-sponsor Scholarship,checked,Master,Switzerland,A LOT OF DISCIPLINES,Full scholarship,"The scholarship programmes are open to excellent students both from the ETH and from other universities (national and international) wishing to pursue their Master’s degree at ETH Zurich. The prerequisite is a very good result in their Bachelor’s. Students must belong to the best 10 percent of their Bachelor’s programme.

All information provided in the application must be complete and correct. The pre-proposal for the Master's thesis must be developed by the applicant him/herself and use established scientific citation practice.",https://www.ethz.ch/students/en/studies/financial/scholarships/excellencescholarship.html,December,21/8/2017,
Excellence Scholarship Programme of the Embassy of France in Vietnam,703,,Excellence Scholarship Programme of the Embassy of France in Vietnam,Government Scholarship,checked,"Master ,PhD ",France,A LOT OF DISCIPLINES,Nearly full scholarship (withour air tickets or accommodation),"- Grantees will be awarded a monthly stipend of 767 euro for a maximum of 36 months (for PhD students) or 10 months for Master students
- The upper age limit for applicants is set at 40 years old",http://www.european-funding-guide.eu/scholarship/2485-excellence-scholarship-programme-embassy-france-vietnam,January,21/8/2017,
Excellent Foreinger Students,1216,,Excellent Foreinger Students,University-sponsor Scholarship,checked,"Master ,PhD ",Thailand,A LOT OF DISCIPLINES,Full scholarship,,https://www.siit.tu.ac.th/about_news_detail.php?sid=12&nid=134,"April,October ",19/9/2017,
"Exchange scholarshup - ESB, Reutlingen University, Germany",332,,"Exchange scholarshup - ESB, Reutlingen University, Germany",University-sponsor Scholarship,checked,Undergraduate,Germany,Business and finance,100% tuition fee,học bổng trao đổi SV cho SV khoa Quản lý công nghiệp - ĐH Bách Khoa TPHCM,http://www.esb-business-school.de/en/international/student-exchange/off-to-esb-business-school/international-operations-management/,March,18/8/2017,
Exchange Student Program Application Guide (for Spring 2018),1099,,Exchange Student Program Application Guide (for Spring 2018),Exchange scholarship,,Undergraduate,Japan,A LOT OF DISCIPLINES,Nearly full scholarship (withour air tickets or accommodation),"Sinh viên tham gia các chương trình được học tổi thiểu 01 học kỳ tại trường đối tác và không phải đóng thêm học phí. Các môn học trong học kỳ này sẽ được Trường Đại học FPT xem xét để được chuyển đổi môn học tương đương theo chương trình học của Đại học FPT và công nhận kết quả học tập cho sinh viên.
Đại học Shinshu nằm ở tỉnh Nagano, nằm cách thủ đô Tokyo 226km về phía Tây Bắc. Trường được thành lập vào năm 1949 và đến nay, trường có hơn 11.000 sinh viên đang theo học, với 8 khoa và 7 trường đại học trực thuộc, 4 campus tại Matsumoto, Nagano, Ueda và Ina – do đó có thể coi cả tỉnh Nagano rộng lớn chính là campus chung cho đại học Shinshu. Bên cạnh các hoạt động học thuật trong nước, trường đại học Shinshu cũng đang rất chú trọng đến quan hệ quốc tế với các trường đối tác, trong đó có đại học FPT của Việt Nam.

1. Thời gian chương trình: 
Học kỳ Spring 2018 của đại học Shinshu (Từ T4/2018 đến T10/2018).
Sinh viên được đăng ký học 1 hoặc 2 semester.

2. Deadline đăng ký: Trước 30/10/2017.
Link đăng kí: https://goo.gl/UPAZYu

3. Đối tượng và chỉ tiêu: 1 chỉ tiêu dành cho sinh viên đại học FPT chuyên ngành tiếng Nhật (Các môn học được giảng dạy bằng tiếng Nhật).

4. Chi phí ước tính:
- Ăn ở: 49.400 đến 103.700 JPY/tháng (Nơi ở, tiền-điện-nước-internet, tiền ăn, tiền sách, di chuyển ở Nhật và các chi phí cá nhân khác).
- Tiền bảo hiểm ở Nhật: Khoảng 1500 JPY/thags

5. Hồ sơ:
- Đơn đăng ký.
- Bảng điểm.
- 4 ảnh 3x4.
- Hộ chiếu bản photo.
- Chứng nhận tài chính (500.000 JPY)
- Chứng nhận khả năng ngôn ngữ tiếng Nhật (nếu có).

6. Thông tin tham khảo và hướng dẫn chi tiết làm hồ sơ:
http://www.shinshu-u.ac.jp/…/exchange-student-program-appli…

Tiêu đề email: [Exchange_SHINSHU]
Hỗ trợ làm hồ sơ và giải đáp thắc mắc vui lòng liên hệ: 
Anh Nguyễn Duy Tùng, Phòng Hợp tác quốc tế và Phát triển cá nhân
Điện thoại: 024 6680 5910, email: TungND17@fe.edu.vn",http://www.shinshu-u.ac.jp/institution/gec/cheer/english/news/2017/06/exchange-student-program-application-guide-for-spring-2018.php,October,6/9/2017,
Exchange student program USA,1383,,Exchange student program USA,Government Scholarship,checked,High school,United State,A LOT OF DISCIPLINES,Full scholarship,,http://www.apv.com.vn/news_detail.asp?new=7&h%E1%BB%8Dc-b%E1%BB%95ng-ptth--giao-l%C6%B0u-v%C4%83n-h%C3%B3a-m%E1%BB%B9-2018-(hoc-sinh-tu-lop-8-de%CC%81n-lo%CC%81p-12).htm,Febuary,15/11/2017,
Executive MBA scholarship in Nottingham Trent University,966,,Executive MBA scholarship in Nottingham Trent University,University-sponsor Scholarship,checked,Master,United Kingdom,Business and finance,50% tuition fee,,https://www4.ntu.ac.uk/nbs/courses/fees_and_funding/mba_scholarships/index.html,June,5/9/2017,
FACULTY MERIT SCHOLARSHIPS,1078,,FACULTY MERIT SCHOLARSHIPS,University-sponsor Scholarship,checked,Undergraduate,Australia,A LOT OF DISCIPLINES,less than 50% tuition fee,,http://www.uow.edu.au/future/international/vn/fees-and-scholarships/index.html,October,5/9/2017,
Fairleigh Dickinson Scholarship,1115,,Fairleigh Dickinson Scholarship,University-sponsor Scholarship,checked,Undergraduate,Canada,A LOT OF DISCIPLINES,"less than 50% tuition fee ,50% tuition fee ,more than 50% tuition fee","Có nhiều các học bổng nhỏ khác nhau, nhưng đáng giá nhất là Presidential Scholarship. Giữ GPA tầm 3.0 đổ lên",http://view2.fdu.edu/admissions/undergraduate-admissions/financial-aid/fdu-scholarships/,January,7/9/2017,
Falak Sufi Scholarships at the Graduate School of Arts and Science of New York University,1436,,Falak Sufi Scholarships at the Graduate School of Arts and Science of New York University,University-sponsor Scholarship,checked,Master,United State,"Social sciences and Humanities ,Journalism and Media ",Nearly full scholarship (withour air tickets or accommodation),"For 2018–19, the scholarship includes an academic-year stipend (a minimum of $27,526), tuition, student health insurance, and registration and services fees for up to two years, provided that academic standards of the Graduate School and the graduate program are met.",http://gsas.nyu.edu/content/nyu-as/gsas/admissions/financial-aid/falak-sufi-scholarship.html,January,13/12/2017,
FAO - Hungarian Government Scholarship,72,,FAO - Hungarian Government Scholarship,Government Scholarship,checked,Master,Hungary,"Natural Sciences and Mathematics ,Engineer and Technology ,Business and finance,Environmental studies and earth sciences",Nearly full scholarship (withour air tickets or accommodation),"Free accommodation, free tuition + 300EU/month

Học bổng cho ngành liên quan đến Nông nghiệp ",http://www.fao.org/europe/news/detail-news/en/c/462407/,Febuary,17/8/2017,
Fondation Rainbow Bridge MBA Scholarships for African and Asian Women,1260,,Fondation Rainbow Bridge MBA Scholarships for African and Asian Women,University-sponsor Scholarship,checked,Master,France,Business and finance,Cash award,"The Fondation Rainbow Bridge Scholarship is available for women from Asian or African countries affected by natural disasters, drought or famine to pursue an MBA programme at HEC Paris",http://www.mba.hec.edu/Fees-Funding/Scholarships/Fondation-Rainbow-Bridge,"November,June",23/9/2017,
Fontys Top Talent Scholarship for FTB program Eindhoven,1164,,Fontys Top Talent Scholarship for FTB program Eindhoven,University-sponsor Scholarship,checked,Undergraduate,Netherland,Computer science and IT,less than 50% tuition fee,Học bổng cho maximum 1600 euro,https://fontys.edu/Bachelors-masters/Bachelors/Information-Communication-Technology-Eindhoven/Scholarships-Non-EU-students.htm,April,15/9/2017,
Forrest Research Foundation Scholarship.,568,,Forrest Research Foundation Scholarship.,Fellowship Scholarship,checked,PhD,Australia,A LOT OF DISCIPLINES,Full scholarship,"Applicants must have a bachelor’s degree of First Class Honours
standard or equivalent and have applied for PhD enrolment at one of the five
specified Western Australian universities.",http://www.forrestresearch.org.au/,May,19/8/2017,
"Freeman Foundation International Fellowship Grant in Asia, 2017",1112,,"Freeman Foundation International Fellowship Grant in Asia, 2017",Fellowship Scholarship,checked,"Undergraduate ,Post-graduate ",United State,A LOT OF DISCIPLINES,Cash award,"Học bổng tối đa là $6,550, tùy theo ngân sách của GSCD (Graduate Student Career Development ).  Đây là việc học trải nghiệm ở các nước đông Á hoặc Nam Á mà không có ở Mỹ. Và việc học yêu cầu tối thiểu 20 giờ học trên tuần và ít nhất là 10 tuần. Có 3 kỳ apply học bổng là tháng 4, tháng 7 và tháng 12.",https://elliott.gwu.edu/freeman-foundation-grant,December,7/9/2017,
FRENCH GOVERNMENT SCHOLARSHIPS (AEFE),1367,,FRENCH GOVERNMENT SCHOLARSHIPS (AEFE),Government Scholarship,checked,"Master ,Undergraduate ",France,A LOT OF DISCIPLINES,Full scholarship,"Baccalaureate must be: ""very good"" or ""good.""",http://www.aefe.fr/aefe/operateur-du-ministere-de-leurope-et-des-affaires-etrangeres/dispositif-excellence-major,March,16/10/2017,
Freshman Merit Award,1162,,Freshman Merit Award,University-sponsor Scholarship,checked,Undergraduate,United State,A LOT OF DISCIPLINES,Cash award,"Học sinh quốc tế được nhận $1000 trong năm đầu vào trường, và sau đó nếu duy trì GPA 3.2 trở lên sẽ nhận thêm $1000 tiền thưởng.",http://www.uiw.edu/internationaladmissions/scholarships.html,"April,September",14/9/2017,
Fuji Seal Packaging Scholarship,1205,,Fuji Seal Packaging Scholarship,Company-sponsor Scholarship,checked,Undergraduate,Japan,A LOT OF DISCIPLINES,Cash award,"Học bổng hỗ trợ 100000JPY một tháng dành cho các bạn sinh viên quốc tế từ năm 2 trở lên, có khả năng ngôn ngữ Tiếng Anh và Tiếng Nhật. Mặc dù học bổng ưu tiên dành cho các bạn sinh viên tới từ EU và America, các bạn du học sinh Việt Nam tại Nhật vẫn có khả năng được nhận.",http://www.fujiseal.co.jp/foundation/business/english.html,April,19/9/2017,
Fujitsu Scholarship - Fujitsu Global,1023,,Fujitsu Scholarship - Fujitsu Global,Company-sponsor Scholarship,checked,No specified,Japan,A LOT OF DISCIPLINES,Nearly full scholarship (withour air tickets or accommodation),,http://www.fujitsu.com/global/about/csr/activities/community/scholarship/,September,14/9/2017,
Fujitsu-Global Leaders for Innovation and Knowledge Program,73,,Fujitsu-Global Leaders for Innovation and Knowledge Program,Company-sponsor Scholarship,checked,Post-graduate,Japan,A LOT OF DISCIPLINES,Full scholarship,Cần 3 năm kinh nghiệm làm việc full time,http://www.fujitsu.com/global/about/csr/activities/community/scholarship/process/,August,17/8/2017,
Fukuoka Women University Scholarship,1273,,Fukuoka Women University Scholarship,University-sponsor Scholarship,checked,"Undergraduate ,Post-graduate ",Japan,A LOT OF DISCIPLINES,"50% tuition fee ,100% tuition fee","Học phí ở trường kể cả khi không có học bổng toàn phần vẫn rẻ hơn rất nhiều các trường trong hệ thống công lập khác. Kí túc xá ở đây là 1 trong số ít những trường siêu tiện nghi và thậm chí là rất rẻ, cho học sinh quốc tế ở trong vòng 4 năm không phải chuyển ra ngoài và cách trường có 20m thôi. Học bổng sẽ được cấp trong quá trình phỏng vấn, không hiện thị rõ trên website trường. Và nếu không được học bổng của trường có thể xin được học bổng của vùng với giá trị cũng rất cao.",http://www.fwu.ac.jp/english/faculties/admission.html,"Febuary,June",23/7/2017,
Fulbright Distinguished Awards in Teaching Program,1012,,Fulbright Distinguished Awards in Teaching Program,Government Scholarship,checked,No specified,United State,A LOT OF DISCIPLINES,Full scholarship,,https://goo.gl/DN6uLD,October,12/9/2017,
FULBRIGHT EVEREST LAUNCHPAD,1039,,FULBRIGHT EVEREST LAUNCHPAD,Government Scholarship,checked,High school,Vietnam,A LOT OF DISCIPLINES,"less than 50% tuition fee ,50% tuition fee ,100% tuition fee","Chi tiết: www.fel.edu.vn.
Email: info@fel.edu.vn
Điện thoại: 0936 511 790 (gặp chị Võ Thanh Tuyền)",https://fel.edu.vn/,June,26/9/2017,
Fulbright University Vietnam  HỌC BỔNG THẠC SỸ CHÍNH SÁCH CÔNG,74,,Fulbright University Vietnam  HỌC BỔNG THẠC SỸ CHÍNH SÁCH CÔNG,University-sponsor Scholarship,checked,Master,Vietnam,"Business and finance,Social sciences and Humanities ",Full scholarship,"100% học phí (24 nghìn USD)
* Trợ cấp phí sinh hoạt
* Trợ cấp chi phí tàu xe cho học viên đến từ các tỉnh, thành khác để theo học toàn thời gian tại TP.HCM",https://www.facebook.com/FulbrightUniVN/posts/465683613814455,August,17/8/2017,
Fulbright Vietnamese Student Scholarship Program,8,,Fulbright Vietnamese Student Scholarship Program,Government Scholarship,checked,Master,United State,A LOT OF DISCIPLINES,Full scholarship,,https://vn.usembassy.gov/education-culture/fulbright-program-vietnam/vietnamese-student-program/,April,15/8/2017,
Full Scholarship For A Master of Animation and Visualisation,1106,,Full Scholarship For A Master of Animation and Visualisation,University-sponsor Scholarship,,Master,Australia,"""Arts, Design and Photography""",100% tuition fee,,http://newsroom.uts.edu.au/news/2016/10/full-scholarship-opportunity-targets-next-generation-smart-creatives,November,6/9/2017,
"Full-Tuition Scholarships for International Students at Beloit College in USA, 2018",1411,,"Full-Tuition Scholarships for International Students at Beloit College in USA, 2018",University-sponsor Scholarship,,Undergraduate,United State,A LOT OF DISCIPLINES,"100% tuition fee,less than 50% tuition fee ,more than 50% tuition fee,50% tuition fee ","HỌc bổng maximum: $27,000/year. Tuy nhiên Beloit có lưu ý đối với sinh viên để apply học bổng (financial aid của Beloit) thì sinh viên phải điền form và report trung thực số tiền gia đình có thể tài trợ cho đi học ở Beloit để có thể trao học bổng phù hợp với sinh viên. 
Hơn nữa, sinh viên sẽ phải chịu extra fees như tiền phòng, sách, chi phí cá nhân, ... Và trường dự kiến sinh viễn sẽ mất khoảng $11,000 cho các chi phí ngoài. 
Để duy trì số tiền học bổng được trao mỗi năm, sinh viên phải duy trì được Satisfactory Academic Progress theo quy định của trường.",https://www.beloit.edu/admission/afford/international/,January,9/12/2017,
FULLY-FUNDED PHD STUDENTSHIP,1403,,FULLY-FUNDED PHD STUDENTSHIP,University-sponsor Scholarship,checked,PhD,United Kingdom,A LOT OF DISCIPLINES,Full scholarship,applicants must have 1st class honours degree and/or a Master’s degree with distinction or equivalent Grade Point Average. An IELTS (Academic) score of 6.5 minimum (with a minimum 5.5 in each component) is essential for candidates for whom English is not their first language.,https://www1.bournemouth.ac.uk/study/postgraduate-research/fees-funding/studentships-scholarships/fully-funded-phd-studentships,January,9/12/2017,
Future Global Leaders Scholarship,1357,,Future Global Leaders Scholarship,University-sponsor Scholarship,,Undergraduate,United Kingdom,A LOT OF DISCIPLINES,less than 50% tuition fee,"A maximum of £10,000 are available in this category. Payments will be £3,000 per year towards tuition fees, with a further £1,000 being awarded to students who go on to achieve a first class degree.

Continuing funding over years 2 and 3 is subject to students passing each year with a minimum average grade of 55% and satisfactory attendance.",http://www.coventry.ac.uk/international-students-hub/new-students/international-scholarships-and-discounts/international-scholarships/apply-for-a-scholarship-/future-global-leaders-scholarship/,June,7/10/2017,
Future Global Leadership - Tohoku University,520,,Future Global Leadership - Tohoku University,University-sponsor Scholarship,checked,Undergraduate,Japan,"Natural Sciences and Mathematics ,Engineer and Technology ",Nearly full scholarship (withour air tickets or accommodation),"Chương trình có 3 chuyên ngành cho các bạn lựa chọn là AMC (Advanced Molecular Chemistry), IMAC-U (International Mechanical and Aerospace Engineering) và AMB (Applied Marine Biology). Chế độ học bổng của Đại học Tohoku khá đa dạng. Cao nhất là MEXT (năm nay mới có) – bạn sẽ được full tuition 4 năm, entrance fees (khoảng 50 triệu VNĐ), tầm 20 triệu stipends 1 tháng cũng trong 4 năm, và vé máy bay đi + về sau 4 năm học. Sau đó là học bổng của thầy hiệu trưởng, tương ứng với tuition fees + entrance fees. Các bạn không được MEXT sẽ nhận học bổng này, kèm theo JASSO được gần 10 triệu trong 6 tháng đầu. Ngoài ra, khi vào trường, nếu học tốt sẽ được nhận học bổng ở nhiều dạng khác. Trường sẽ cho bạn ở dorm trong 2 năm đầu nữa",https://www.fgl.tohoku.ac.jp/,January,19/8/2017,
Gates Cambridge,16,,Gates Cambridge,University-sponsor Scholarship,checked,"Post-graduate ,Master ,PhD ",United Kingdom,A LOT OF DISCIPLINES,Full scholarship,,https://www.gatescambridge.org/about,Vary every year,15/8/2017,
General Anesthesia Fellowship,767,,General Anesthesia Fellowship,Fellowship Scholarship,checked,No specified,No specified,Medicine and Health,100% tuition fee,"Eligibility: The following criteria must be met in order for applicants to be eligible for the scholarship:
- A permanent post in a government teaching hospital.
- A degree in medicine.
- Good spoken and written English language skills.
- Prior experience in anaesthesia for at least 3 years in his/her own country (evidence of previous training, the number of cases and techniques done in the last 3 years).",http://www.wfsahq.org/latest-news/latestnews/707-applications-open-2018-wfsa-bartc-fellowship-bangkok-thailand,September,24/8/2017,
General Scholarship Scheme,75,,General Scholarship Scheme,Government Scholarship,checked,"Undergraduate ,PhD ,Master ",India,A LOT OF DISCIPLINES,Nearly full scholarship (withour air tickets or accommodation),,iccr.gov.in/content/general-scholarships-scheme-gss,Change every year,17/8/2017,
General Scholarship Scheme - GSS,1354,,General Scholarship Scheme - GSS,Government Scholarship,checked,"Post-graduate ,Undergraduate ",India,A LOT OF DISCIPLINES,Full scholarship,"+ Dead line base on each country
+Schollarship for the undergraduate, postgraduate degrees and for pursuing research at Indian universities.
+ Scholarships for medical studies for MBBS, BDS or for medical research leading to a Ph.D degree are not offered under the GSS scheme.",http://iccr.gov.in/content/general-scholarships-scheme-gss,Change every year,6/10/2017,
Geophysical Paris eXploration Scholarship,1058,,Geophysical Paris eXploration Scholarship,University-sponsor Scholarship,checked,Master,France,Environmental studies and earth sciences,Full scholarship,"All students receive a 1000 Euros monthly scholarship. If a student already receives a salary or a scholarship from another institution, they may complete this sum up to 1000 Euros.",http://gpx.geosciences.mines-paristech.fr,Febuary,5/9/2017,
Georg Arnhold Program,1254,,Georg Arnhold Program,Fellowship Scholarship,,PhD,Germany,Social sciences and Humanities,Cash award,"Giá trị: tối đa 6,500 euro cho 3-6 tháng sống tại Đức (đủ để cover chi phí sinh hoạt) + vé máy bay khứ hồi",http://www.gei.de/en/fellowships/georg-arnhold-program/application.html,August,22/9/2017,
Georg Forster Research Fellowship,1304,,Georg Forster Research Fellowship,Government Scholarship,checked,PhD,Germany,"Natural Sciences and Mathematics ,Computer science and IT ,Social sciences and Humanities ",Full scholarship," enables highly-qualified scientists and scholars from abroad who are
just embarking on their academic careers and who completed their doctorates less than four
years ago1
to spend extended periods of research (6-24 months) in Germany. 


if you intend to carry out long-term research of your own choice (6 to 24 months) at a research institution in Germany together with an academic host you have chosen yourself,

Eligible applicants must have lived outside Germany for a minimum of 12 months in total in the
18-month period prior to submission of the application.",https://www.humboldt-foundation.de/web/georg-forster-fellowship.html,October,27/9/2017,
Georgia College & State University International Student Scholarship,916,,Georgia College & State University International Student Scholarship,University-sponsor Scholarship,,Undergraduate,United State,A LOT OF DISCIPLINES,50% tuition fee,"Students must write an essay on how they will contribute to the internationalization of the campus. Two letters of recommendation are required. The scholarship amount is approximately $18,000/yr, which is a significant partial scholarship.",http://www.gcsu.edu/international/funding,"January,September",4/9/2017,
Ghent University Scholarship for Master Degree in Belgium (Fully Funded),398,,Ghent University Scholarship for Master Degree in Belgium (Fully Funded),University-sponsor Scholarship,checked,Master,Belgium,A LOT OF DISCIPLINES,Nearly full scholarship (withour air tickets or accommodation),"Value:   Monthly allowance of 650 Euro, All-in insurance (health, civil liability, repatriation), Tuition fee.  Airline and Visa is not including in the program
",http://www.ugent.be/en/research/funding/devcoop/topupgrants/topupgrants.htm#Deadlineanddecision,May,18/8/2017,
